№,Регион,Город,Улица,Дом,lat,lon,qc_geo,full_address
1,Алтайский край,Барнаул,улица 1 Мая,6,53.356018,83.77231,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 6"
2,Алтайский край,Барнаул,улица 1 Мая,8,53.356642,83.772347,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 8"
3,Алтайский край,Барнаул,улица 1 Мая,10,53.357185,83.77239,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 10"
4,Алтайский край,Барнаул,улица 1905 года,25,53.357083,83.775006,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1905 года, д 25"
5,Алтайский край,Барнаул,улица 280-летия Барнаула,4,53.348419,83.669858,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 4"
6,Алтайский край,Барнаул,улица 280-летия Барнаула,14,53.348833,83.665888,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 14"
7,Алтайский край,Барнаул,улица 280-летия Барнаула,15,53.3480213,83.661793,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 15"
8,Алтайский край,Барнаул,улица 280-летия Барнаула,16,53.348197,83.665479,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 16"
9,Алтайский край,Барнаул,улица 280-летия Барнаула,21,53.349451,83.6574,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 21"
10,Алтайский край,Барнаул,улица 280-летия Барнаула,22,53.350687,83.657144,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 22"
11,Алтайский край,Барнаул,улица 280-летия Барнаула,23,53.34959,83.655968,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 23"
12,Алтайский край,Барнаул,улица 280-летия Барнаула,26,53.351179,83.655753,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 26"
13,Алтайский край,Барнаул,улица 280-летия Барнаула,27,53.349992,83.654734,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 27"
14,Алтайский край,Барнаул,улица 40 лет Октября,2,53.37347,83.722046,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 2"
15,Алтайский край,Барнаул,улица 40 лет Октября,3а,53.374406,83.721008,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 3а"
16,Алтайский край,Барнаул,улица 40 лет Октября,5а,53.374368,83.720397,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 5а"
17,Алтайский край,Барнаул,улица 40 лет Октября,12,53.3754,83.72225,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 12"
18,Алтайский край,Барнаул,улица 40 лет Октября,13,53.3767654,83.721131,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 13"
19,Алтайский край,Барнаул,улица 40 лет Октября,14,53.379536,83.721332,2,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 14"
20,Алтайский край,Барнаул,улица 40 лет Октября,15,53.377339,83.721062,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 15"
21,Алтайский край,Барнаул,улица 40 лет Октября,17,53.377839,83.72108,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 17"
22,Алтайский край,Барнаул,улица 40 лет Октября,19,53.3798659,83.7209412,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 19"
23,Алтайский край,Барнаул,улица 40 лет Октября,19а,53.379837,83.721035,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 19а"
24,Алтайский край,Барнаул,улица 40 лет Октября,20,53.3796389,83.721719,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 20"
25,Алтайский край,Барнаул,улица 40 лет Октября,21,53.380718,83.72108,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 21"
